('Wikipedia', 0.030768838093442632)
('International_Standard_Book_Number', 0.01716658545720583)
('United_States', 0.013095407573531927)
('Europe', 0.011225630053953214)
('Digital_object_identifier', 0.010446393071646708)
('Wayback_Machine', 0.009262152364986318)
('Latin', 0.008250427139722138)
('English_language', 0.0070254895402750775)
('Japan', 0.006714001652920159)
('Russia', 0.006708749219737242)
('Spanish_language', 0.0065017916084645746)
('Geographic_coordinate_system', 0.006338015929044974)
('DMOZ', 0.006325952602076982)
('India', 0.006255278344986014)
('Linux', 0.005933504825027994)
('Canada', 0.005868477972685357)
('Spain', 0.00575149261557274)
('France', 0.005742556362293174)
('Wikidata', 0.00566358607009159)
('Geography', 0.005053551129847639)
('Italy', 0.0048884438707608785)
('United_Kingdom', 0.0048558510823110655)
('French_language', 0.004727318179999765)
('Wikisource', 0.004668485517783597)
('Africa', 0.004638456846927295)
('Germany', 0.004581307548130862)
('European_Union', 0.004355800821123382)
('JSTOR', 0.004355388179698121)
('United_Nations', 0.0043550618752082465)
('Brazil', 0.0043403926977572055)
('German_language', 0.004313961883967972)
('Romania', 0.004302620485299865)
('Australia', 0.004266278149985035)
('Egypt', 0.00425313896351865)
('Equator', 0.004199848116871695)
('China', 0.004110251025564375)
('Mexico', 0.004061926984988789)
('Argentina', 0.003885775361196857)
('ISO_639-1', 0.00380961056252514)
('ISO_639-3', 0.0037451849304439636)
('Malta', 0.003668342032661101)
('Mars', 0.0035550623850899997)
('Luxembourg', 0.0034163362226066257)
('Bulgaria', 0.0033963444681204863)
('Austria', 0.00336874537925336)
('Italian_language', 0.0033394465482376756)
('ISO_639-2', 0.003328782415962009)
('New_Zealand', 0.0032953516101252673)
('Lithuania', 0.0032639884278742154)
('Portugal', 0.0032560696870411513)
